unique_id,ds,y,unit_price
12 MACARON,13-07-2022,10,10
12 MACARON,14-07-2022,0,10
12 MACARON,15-07-2022,0,10
12 MACARON,16-07-2022,10,10
12 MACARON,17-07-2022,30,10
12 MACARON,18-07-2022,0,10
12 MACARON,19-07-2022,10,10
12 MACARON,20-07-2022,0,10
12 MACARON,21-07-2022,10,10
12 MACARON,22-07-2022,0,10
12 MACARON,23-07-2022,0,10
12 MACARON,24-07-2022,10,10
12 MACARON,25-07-2022,0,10
12 MACARON,26-07-2022,0,10
12 MACARON,27-07-2022,10,10
12 MACARON,28-07-2022,0,10
12 MACARON,29-07-2022,20,10
12 MACARON,30-07-2022,10,10
12 MACARON,31-07-2022,20,10
12 MACARON,01-08-2022,0,10
12 MACARON,02-08-2022,20,10
12 MACARON,03-08-2022,0,10
12 MACARON,04-08-2022,20,10
12 MACARON,05-08-2022,10,10
12 MACARON,06-08-2022,0,10
12 MACARON,07-08-2022,0,10
12 MACARON,08-08-2022,10,10
12 MACARON,09-08-2022,10,10
12 MACARON,10-08-2022,10,10
12 MACARON,11-08-2022,30,10
12 MACARON,12-08-2022,10,10
12 MACARON,13-08-2022,20,10
12 MACARON,14-08-2022,20,10
12 MACARON,15-08-2022,10,10
12 MACARON,16-08-2022,0,10
12 MACARON,17-08-2022,30,10
12 MACARON,18-08-2022,20,10
12 MACARON,19-08-2022,10,10
12 MACARON,20-08-2022,20,10
12 MACARON,21-08-2022,50,10
12 MACARON,22-08-2022,30,10
12 MACARON,23-08-2022,0,10
12 MACARON,24-08-2022,20,10
12 MACARON,25-08-2022,20,10
12 MACARON,26-08-2022,0,10
12 MACARON,27-08-2022,20,10
12 MACARON,28-08-2022,50,10
12 MACARON,29-08-2022,10,10
12 MACARON,30-08-2022,20,10
12 MACARON,31-08-2022,0,10
12 MACARON,01-09-2022,0,10
12 MACARON,02-09-2022,10,10
12 MACARON,03-09-2022,0,10
12 MACARON,04-09-2022,10,10
12 MACARON,05-09-2022,0,10
12 MACARON,06-09-2022,0,10
12 MACARON,07-09-2022,10,10
12 MACARON,08-09-2022,10,10
12 MACARON,09-09-2022,0,10
12 MACARON,10-09-2022,10,10
12 MACARON,11-09-2022,10,10
12 MACARON,12-09-2022,0,10
12 MACARON,13-09-2022,0,10
12 MACARON,14-09-2022,0,10
12 MACARON,15-09-2022,10,10
12 MACARON,16-09-2022,0,10
12 MACARON,17-09-2022,0,10
12 MACARON,18-09-2022,0,10
12 MACARON,19-09-2022,0,10
12 MACARON,20-09-2022,0,10
12 MACARON,21-09-2022,0,10
12 MACARON,22-09-2022,0,10
12 MACARON,23-09-2022,0,10
12 MACARON,24-09-2022,10,10
12 MACARON,25-09-2022,0,10
12 MACARON,26-09-2022,0,10
12 MACARON,27-09-2022,0,10
12 MACARON,28-09-2022,10,10
ARMORICAIN,17-07-2022,2.5,2.5
ARMORICAIN,18-07-2022,0,2.5
ARMORICAIN,19-07-2022,0,2.5
ARMORICAIN,20-07-2022,0,2.5
ARMORICAIN,21-07-2022,5,2.5
ARTICLE 295,08-11-2021,0,0
BAGUETTE,02-01-2021,41.4,0.9
BAGUETTE,03-01-2021,31.5,0.9
BAGUETTE,04-01-2021,27,0.9
BAGUETTE,05-01-2021,26.1,0.9
BAGUETTE,06-01-2021,0,0.9
BAGUETTE,07-01-2021,25.2,0.9
BAGUETTE,08-01-2021,15.3,0.9
BAGUETTE,09-01-2021,22.5,0.9
BAGUETTE,10-01-2021,32.4,0.9
BAGUETTE,11-01-2021,27.9,0.9
BAGUETTE,12-01-2021,26.1,0.9
BAGUETTE,13-01-2021,0,0.9
BAGUETTE,14-01-2021,21.6,0.9
BAGUETTE,15-01-2021,17.1,0.9
BAGUETTE,16-01-2021,25.2,0.9
BAGUETTE,17-01-2021,33.3,0.9
BAGUETTE,18-01-2021,24.3,0.9
BAGUETTE,19-01-2021,18,0.9
BAGUETTE,20-01-2021,0,0.9
BAGUETTE,21-01-2021,19.8,0.9
BAGUETTE,22-01-2021,25.2,0.9
BAGUETTE,23-01-2021,25.2,0.9
BAGUETTE,24-01-2021,31.5,0.9
BAGUETTE,25-01-2021,21.6,0.9
BAGUETTE,26-01-2021,30.6,0.9
BAGUETTE,27-01-2021,0,0.9
BAGUETTE,28-01-2021,16.2,0.9
BAGUETTE,29-01-2021,24.3,0.9
BAGUETTE,30-01-2021,30.6,0.9
BAGUETTE,31-01-2021,27,0.9
BAGUETTE,01-02-2021,13.5,0.9
BAGUETTE,02-02-2021,21.6,0.9
BAGUETTE,03-02-2021,0,0.9
BAGUETTE,04-02-2021,23.4,0.9
BAGUETTE,05-02-2021,27,0.9
BAGUETTE,06-02-2021,18,0.9
BAGUETTE,07-02-2021,27,0.9
BAGUETTE,08-02-2021,19.8,0.9
BAGUETTE,09-02-2021,27,0.9
BAGUETTE,10-02-2021,0,0.9
BAGUETTE,11-02-2021,15.3,0.9
BAGUETTE,12-02-2021,16.2,0.9
BAGUETTE,13-02-2021,24.3,0.9
BAGUETTE,14-02-2021,45,0.9
BAGUETTE,15-02-2021,22.5,0.9
BAGUETTE,16-02-2021,19.8,0.9
BAGUETTE,17-02-2021,0,0.9
BAGUETTE,18-02-2021,29.7,0.9
BAGUETTE,19-02-2021,25.2,0.9
BAGUETTE,20-02-2021,25.2,0.9
BAGUETTE,21-02-2021,48.6,0.9
BAGUETTE,22-02-2021,44.1,0.9
BAGUETTE,23-02-2021,27.9,0.9
BAGUETTE,24-02-2021,0,0.9
BAGUETTE,25-02-2021,32.4,0.9
BAGUETTE,26-02-2021,27.9,0.9
BAGUETTE,27-02-2021,47.7,0.9
BAGUETTE,28-02-2021,67.5,0.9
BAGUETTE,01-03-2021,32.4,0.9
BAGUETTE,02-03-2021,27.9,0.9
BAGUETTE,03-03-2021,0,0.9
BAGUETTE,04-03-2021,33.3,0.9
BAGUETTE,05-03-2021,39.6,0.9
BAGUETTE,06-03-2021,43.2,0.9
BAGUETTE,07-03-2021,44.1,0.9
BAGUETTE,08-03-2021,18.9,0.9
BAGUETTE,09-03-2021,32.4,0.9
BAGUETTE,10-03-2021,0,0.9
BAGUETTE,11-03-2021,20.7,0.9
BAGUETTE,12-03-2021,31.5,0.9
BAGUETTE,13-03-2021,31.5,0.9
BAGUETTE,14-03-2021,43.2,0.9
BAGUETTE,15-03-2021,26.1,0.9
BAGUETTE,16-03-2021,23.4,0.9
BAGUETTE,17-03-2021,0,0.9
BAGUETTE,18-03-2021,15.3,0.9
BAGUETTE,19-03-2021,25.2,0.9
BAGUETTE,20-03-2021,36.9,0.9
BAGUETTE,21-03-2021,34.2,0.9
BAGUETTE,22-03-2021,21.6,0.9
BAGUETTE,23-03-2021,20.7,0.9
BAGUETTE,24-03-2021,0,0.9
BAGUETTE,25-03-2021,22.5,0.9
BAGUETTE,26-03-2021,30.6,0.9
BAGUETTE,27-03-2021,35.1,0.9
BAGUETTE,28-03-2021,44.1,0.9
BAGUETTE,29-03-2021,40.5,0.9
BAGUETTE,30-03-2021,27,0.9
BAGUETTE,31-03-2021,0,0.9
BAGUETTE,01-04-2021,26.1,0.9
BAGUETTE,02-04-2021,31.5,0.9
BAGUETTE,03-04-2021,32.4,0.9
BAGUETTE,04-04-2021,81.9,0.9
BAGUETTE,05-04-2021,39.6,0.9
BAGUETTE,06-04-2021,26.1,0.9
BAGUETTE,07-04-2021,0,0.9
BAGUETTE,08-04-2021,27.9,0.9
BAGUETTE,09-04-2021,23.4,0.9
BAGUETTE,10-04-2021,28.8,0.9
BAGUETTE,11-04-2021,47.7,0.9
BAGUETTE,12-04-2021,27.9,0.9
BAGUETTE,13-04-2021,26.1,0.9
BAGUETTE,14-04-2021,14.4,0.9
BAGUETTE,15-04-2021,21.6,0.9
BAGUETTE,16-04-2021,31.5,0.9
BAGUETTE,17-04-2021,29.7,0.9
BAGUETTE,18-04-2021,36.9,0.9
BAGUETTE,19-04-2021,24.3,0.9
BAGUETTE,20-04-2021,26.1,0.9
BAGUETTE,21-04-2021,22.5,0.9
BAGUETTE,22-04-2021,27,0.9
BAGUETTE,23-04-2021,30.6,0.9
BAGUETTE,24-04-2021,36.9,0.9
BAGUETTE,25-04-2021,47.7,0.9
BAGUETTE,26-04-2021,23.4,0.9
BAGUETTE,27-04-2021,28.8,0.9
BAGUETTE,28-04-2021,20.7,0.9
BAGUETTE,29-04-2021,25.2,0.9
BAGUETTE,30-04-2021,22.5,0.9
BAGUETTE,01-05-2021,27.9,0.9
BAGUETTE,02-05-2021,43.2,0.9
BAGUETTE,03-05-2021,26.1,0.9
BAGUETTE,04-05-2021,23.4,0.9
BAGUETTE,05-05-2021,27,0.9
BAGUETTE,06-05-2021,19.8,0.9
BAGUETTE,07-05-2021,26.1,0.9
BAGUETTE,08-05-2021,46.8,0.9
BAGUETTE,09-05-2021,40.5,0.9
BAGUETTE,10-05-2021,23.4,0.9
BAGUETTE,11-05-2021,35.1,0.9
BAGUETTE,12-05-2021,36.9,0.9
BAGUETTE,13-05-2021,51.3,0.9
BAGUETTE,14-05-2021,58.5,0.9
BAGUETTE,15-05-2021,74.7,0.9
BAGUETTE,16-05-2021,65.7,0.9
BAGUETTE,17-05-2021,0,0.9
BAGUETTE,18-05-2021,0,0.9
BAGUETTE,19-05-2021,0,0.9
BAGUETTE,20-05-2021,0,0.9
BAGUETTE,21-05-2021,19.8,0.9
BAGUETTE,22-05-2021,39.6,0.9
BAGUETTE,23-05-2021,61.2,0.9
BAGUETTE,24-05-2021,45.9,0.9
BAGUETTE,25-05-2021,33.3,0.9
BAGUETTE,26-05-2021,17.1,0.9
BAGUETTE,27-05-2021,28.8,0.9
BAGUETTE,28-05-2021,17.1,0.9
BAGUETTE,29-05-2021,45,0.9
BAGUETTE,30-05-2021,49.5,0.9
BAGUETTE,31-05-2021,24.3,0.9
